KML2x Export:,,
Units: Lat/Lon (Decimal degrees),,
Datum: WGS84,,
id,Circuit du Championez en Loughborough,vertex: 284
,,
Longitude,Latitude,Elevation
-1.22596,52.77073,0
-1.22593,52.77075,0
-1.22589,52.77077,0
-1.22585,52.77078,0
-1.22581,52.77079,0
-1.22576,52.7708,0
-1.22572,52.77081,0
-1.22566,52.77081,0
-1.22565,52.77081,0
-1.22561,52.77081,0
-1.22557,52.77081,0
-1.22555,52.77081,0
-1.22552,52.7708,0
-1.22549,52.7708,0
-1.22547,52.77079,0
-1.22544,52.77079,0
-1.22542,52.77078,0
-1.2254,52.77077,0
-1.22537,52.77076,0
-1.2253,52.77072,0
-1.22527,52.7707,0
-1.22524,52.77067,0
-1.22522,52.77064,0
-1.22521,52.77061,0
-1.2252,52.77058,0
-1.22519,52.77055,0
-1.22519,52.77052,0
-1.2252,52.7705,0
-1.2252,52.77048,0
-1.22521,52.77047,0
-1.22522,52.77045,0
-1.22523,52.77043,0
-1.22524,52.77042,0
-1.22526,52.7704,0
-1.22527,52.77039,0
-1.2253,52.77028,0
-1.22531,52.7702,0
-1.22531,52.77016,0
-1.22531,52.77,0
-1.22531,52.76995,0
-1.22521,52.76984,0
-1.22492,52.76955,0
-1.22485,52.76949,0
-1.2245,52.76922,0
-1.22461,52.76917,0
,,
,,
,,
        ,,
